,kev,events_per_day
0,1e-09,0.0002
1,0.015015,0.0002
2,0.03003,0.0002
3,0.045045,0.0002
4,0.0600601,0.0002
5,0.0750751,0.0002
6,0.0900901,0.0002
7,0.105105,0.0002
8,0.12012,0.0002
9,0.135135,0.0002
10,0.15015,0.0002
11,0.165165,0.0002
12,0.18018,0.0002
13,0.195195,0.0002
14,0.21021,0.0002
15,0.225225,0.0002
16,0.24024,0.0002
17,0.255255,0.0002
18,0.27027,0.0002
19,0.285285,0.0002
20,0.3003,0.0002
21,0.315315,0.0002
22,0.33033,0.0002
23,0.345345,0.0002
24,0.36036,0.0002
25,0.375375,0.0002
26,0.39039,0.0002
27,0.405405,0.0002
28,0.42042,0.0002
29,0.435435,0.0002
30,0.45045,0.0002
31,0.465465,0.0002
32,0.48048,0.0002
33,0.495495,0.0002
34,0.510511,0.0002
35,0.525526,0.0002
36,0.540541,0.0002
37,0.555556,0.0002
38,0.570571,0.0002
39,0.585586,0.0002
40,0.600601,0.0002
41,0.615616,0.0002
42,0.630631,0.0002
43,0.645646,0.0002
44,0.660661,0.0002
45,0.675676,0.0002
46,0.690691,0.0002
47,0.705706,0.0002
48,0.720721,0.0002
49,0.735736,0.0002
50,0.750751,0.0002
51,0.765766,0.0002
52,0.780781,0.0002
53,0.795796,0.0002
54,0.810811,0.0002
55,0.825826,0.0002
56,0.840841,0.0002
57,0.855856,0.0002
58,0.870871,0.0002
59,0.885886,0.0002
60,0.900901,0.0002
61,0.915916,0.0002
62,0.930931,0.0002
63,0.945946,0.0002
64,0.960961,0.0002
65,0.975976,0.0002
66,0.990991,0.0002
67,1.00601,0.0002
68,1.02102,0.0002
69,1.03604,0.0002
70,1.05105,0.0002
71,1.06607,0.0002
72,1.08108,0.0002
73,1.0961,0.0002
74,1.11111,0.0002
75,1.12613,0.0002
76,1.14114,0.0002
77,1.15616,0.0002
78,1.17117,0.0002
79,1.18619,0.0002
80,1.2012,0.0002
81,1.21622,0.0002
82,1.23123,0.0002
83,1.24625,0.0002
84,1.26126,0.0002
85,1.27628,0.0002
86,1.29129,0.0002
87,1.30631,0.0002
88,1.32132,0.0002
89,1.33634,0.0002
90,1.35135,0.0002
91,1.36637,0.0002
92,1.38138,0.0002
93,1.3964,0.0002
94,1.41141,0.0002
95,1.42643,0.0002
96,1.44144,0.0002
97,1.45646,0.0002
98,1.47147,0.0002
99,1.48649,0.0002
100,1.5015,0.0002
101,1.51652,0.0002
102,1.53153,0.0002
103,1.54655,0.0002
104,1.56156,0.0002
105,1.57658,0.0002
106,1.59159,0.0002
107,1.60661,0.0002
108,1.62162,0.0002
109,1.63664,0.0002
110,1.65165,0.0002
111,1.66667,0.0002
112,1.68168,0.0002
113,1.6967,0.0002
114,1.71171,0.0002
115,1.72673,0.0002
116,1.74174,0.0002
117,1.75676,0.0002
118,1.77177,0.0002
119,1.78679,0.0002
120,1.8018,0.0002
121,1.81682,0.0002
122,1.83183,0.0002
123,1.84685,0.0002
124,1.86186,0.0002
125,1.87688,0.0002
126,1.89189,0.0002
127,1.90691,0.0002
128,1.92192,0.0002
129,1.93694,0.0002
130,1.95195,0.0002
131,1.96697,0.0002
132,1.98198,0.0002
133,1.997,0.0002
134,2.01201,0.0002
135,2.02703,0.0002
136,2.04204,0.0002
137,2.05706,0.0002
138,2.07207,0.0002
139,2.08709,0.0002
140,2.1021,0.0002
141,2.11712,0.0002
142,2.13213,0.0002
143,2.14715,0.0002
144,2.16216,0.0002
145,2.17718,0.0002
146,2.19219,0.0002
147,2.20721,0.0002
148,2.22222,0.0002
149,2.23724,0.0002
150,2.25225,0.0002
151,2.26727,0.0002
152,2.28228,0.0002
153,2.2973,0.0002
154,2.31231,0.0002
155,2.32733,0.0002
156,2.34234,0.0002
157,2.35736,0.0002
158,2.37237,0.0002
159,2.38739,0.0002
160,2.4024,0.0002
161,2.41742,0.0002
162,2.43243,0.0002
163,2.44745,0.0002
164,2.46246,0.0002
165,2.47748,0.0002
166,2.49249,0.0002
167,2.50751,0.0002
168,2.52252,0.0002
169,2.53754,0.0002
170,2.55255,0.0002
171,2.56757,0.0002
172,2.58258,0.0002
173,2.5976,0.0002
174,2.61261,0.0002
175,2.62763,0.0002
176,2.64264,0.0002
177,2.65766,0.0002
178,2.67267,0.0002
179,2.68769,0.0002
180,2.7027,0.0002
181,2.71772,0.0002
182,2.73273,0.0002
183,2.74775,0.0002
184,2.76276,0.0002
185,2.77778,0.0002
186,2.79279,0.0002
187,2.80781,0.0002
188,2.82282,0.0002
189,2.83784,0.0002
190,2.85285,0.0002
191,2.86787,0.0002
192,2.88288,0.0002
193,2.8979,0.0002
194,2.91291,0.0002
195,2.92793,0.0002
196,2.94294,0.0002
197,2.95796,0.0002
198,2.97297,0.0002
199,2.98799,0.0002
200,3.003,0.0002
201,3.01802,0.0002
202,3.03303,0.0002
203,3.04805,0.0002
204,3.06306,0.0002
205,3.07808,0.0002
206,3.09309,0.0002
207,3.10811,0.0002
208,3.12312,0.0002
209,3.13814,0.0002
210,3.15315,0.0002
211,3.16817,0.0002
212,3.18318,0.0002
213,3.1982,0.0002
214,3.21321,0.0002
215,3.22823,0.0002
216,3.24324,0.0002
217,3.25826,0.0002
218,3.27327,0.0002
219,3.28829,0.0002
220,3.3033,0.0002
221,3.31832,0.0002
222,3.33333,0.0002
223,3.34835,0.0002
224,3.36336,0.0002
225,3.37838,0.0002
226,3.39339,0.0002
227,3.40841,0.0002
228,3.42342,0.0002
229,3.43844,0.0002
230,3.45345,0.0002
231,3.46847,0.0002
232,3.48348,0.0002
233,3.4985,0.0002
234,3.51351,0.0002
235,3.52853,0.0002
236,3.54354,0.0002
237,3.55856,0.0002
238,3.57357,0.0002
239,3.58859,0.0002
240,3.6036,0.0002
241,3.61862,0.0002
242,3.63363,0.0002
243,3.64865,0.0002
244,3.66366,0.0002
245,3.67868,0.0002
246,3.69369,0.0002
247,3.70871,0.0002
248,3.72372,0.0002
249,3.73874,0.0002
250,3.75375,0.0002
251,3.76877,0.0002
252,3.78378,0.0002
253,3.7988,0.0002
254,3.81381,0.0002
255,3.82883,0.0002
256,3.84384,0.0002
257,3.85886,0.0002
258,3.87387,0.0002
259,3.88889,0.0002
260,3.9039,0.0002
261,3.91892,0.0002
262,3.93393,0.0002
263,3.94895,0.0002
264,3.96396,0.0002
265,3.97898,0.0002
266,3.99399,0.0002
267,4.00901,0.0002
268,4.02402,0.0002
269,4.03904,0.0002
270,4.05405,0.0002
271,4.06907,0.0002
272,4.08408,0.0002
273,4.0991,0.0002
274,4.11411,0.0002
275,4.12913,0.0002
276,4.14414,0.0002
277,4.15916,0.0002
278,4.17417,0.0002
279,4.18919,0.0002
280,4.2042,0.0002
281,4.21922,0.0002
282,4.23423,0.0002
283,4.24925,0.0002
284,4.26426,0.0002
285,4.27928,0.0002
286,4.29429,0.0002
287,4.30931,0.0002
288,4.32432,0.0002
289,4.33934,0.0002
290,4.35435,0.0002
291,4.36937,0.0002
292,4.38438,0.0002
