E[keV], sigma[barns/atom]
0.1,4.01e+06
0.146,590000
0.1474,1.09e+06
0.15,1.11e+06
0.17,1.19e+06
0.2,1.35e+06
0.2073,1.38e+06
0.2087,1.59e+06
0.3,1.58e+06
0.4,1.26e+06
0.5,963000
0.6,741000
0.6767,612000
0.6781,690000
0.7,5.12e+06
0.75,3.12e+06
0.8,2.64e+06
0.9,2.05e+06
0.957,1.79e+06
0.9584,2.35e+06
1,2.42e+06
1.072,1.77e+06
1.1443,1.54e+06
1.1457,1.62e+06
1.5,889000
2,459000
3,168000
4,83800
4.782,53700
4.7821,160000
5,141000
5.104,134000
5.275,164000
5.453,156000
5.4531,188000
6,145000
8,66300
10,36200
15,12000
20,5510
29.778,1870
30,1830
34.56,1250
34.5601,7540
40,5060
50,2730
60,1640
80,725
100,383
150,120
200,52.6
300,18.7
400,7.48
500,4.07
600,2.49
800,1.18
1000,0.668
