,E,flux
0,1.000000e-01,2.581050e+18
1,1.011901e-01,2.801744e+18
2,1.023802e-01,3.001604e+18
3,1.035704e-01,3.209562e+18
4,1.047605e-01,3.344971e+18
5,1.059506e-01,3.474856e+18
6,1.071407e-01,3.615180e+18
7,1.083308e-01,3.756467e+18
8,1.095210e-01,3.899832e+18
9,1.107111e-01,4.043196e+18
10,1.119012e-01,4.187367e+18
11,1.130913e-01,4.342148e+18
12,1.142814e-01,4.496928e+18
13,1.154716e-01,4.651709e+18
14,1.166617e-01,4.819068e+18
15,1.178518e-01,4.988010e+18
16,1.190419e-01,5.156952e+18
17,1.202320e-01,5.328560e+18
18,1.214221e-01,5.503615e+18
19,1.226123e-01,5.678669e+18
20,1.238024e-01,5.854697e+18
21,1.249925e-01,6.034291e+18
22,1.261826e-01,6.213886e+18
23,1.273727e-01,6.393481e+18
24,1.285629e-01,6.575317e+18
25,1.297530e-01,6.758013e+18
26,1.309431e-01,6.940708e+18
27,1.321332e-01,7.126731e+18
28,1.333233e-01,7.320710e+18
29,1.345135e-01,7.514689e+18
30,1.357036e-01,7.709783e+18
31,1.368937e-01,7.915214e+18
32,1.380838e-01,8.120644e+18
33,1.392739e-01,8.326075e+18
34,1.404641e-01,8.532028e+18
35,1.416542e-01,8.738287e+18
36,1.428443e-01,8.944547e+18
37,1.440344e-01,9.146373e+18
38,1.452245e-01,9.341362e+18
39,1.464146e-01,9.536351e+18
40,1.476048e-01,9.730771e+18
41,1.487949e-01,9.923178e+18
42,1.499850e-01,1.011558e+19
43,1.511751e-01,1.030799e+19
44,1.523652e-01,1.048334e+19
45,1.535554e-01,1.065419e+19
46,1.547455e-01,1.085426e+19
47,1.559356e-01,1.089410e+19
48,1.571257e-01,1.093020e+19
49,1.583158e-01,1.096678e+19
50,1.595060e-01,1.111744e+19
51,1.606961e-01,1.125031e+19
52,1.618862e-01,1.138366e+19
53,1.630763e-01,1.143595e+19
54,1.642664e-01,1.147493e+19
55,1.654565e-01,1.151383e+19
56,1.666467e-01,1.155546e+19
57,1.678368e-01,1.159714e+19
58,1.690269e-01,1.163887e+19
59,1.702170e-01,1.168059e+19
60,1.714071e-01,1.172228e+19
61,1.725973e-01,1.176196e+19
62,1.737874e-01,1.180164e+19
63,1.749775e-01,1.184132e+19
64,1.761676e-01,1.187917e+19
65,1.773577e-01,1.191654e+19
66,1.785479e-01,1.195390e+19
67,1.797380e-01,1.199129e+19
68,1.809281e-01,1.202875e+19
69,1.821182e-01,1.206620e+19
70,1.833083e-01,1.210366e+19
71,1.844985e-01,1.214126e+19
72,1.856886e-01,1.217889e+19
73,1.868787e-01,1.221652e+19
74,1.880688e-01,1.225326e+19
75,1.892589e-01,1.228954e+19
76,1.904490e-01,1.232581e+19
77,1.916392e-01,1.236249e+19
78,1.928293e-01,1.240092e+19
79,1.940194e-01,1.243934e+19
80,1.952095e-01,1.247777e+19
81,1.963996e-01,1.251433e+19
82,1.975898e-01,1.255076e+19
83,1.987799e-01,1.258720e+19
84,1.999700e-01,1.262347e+19
85,2.011601e-01,1.265969e+19
86,2.023502e-01,1.269591e+19
87,2.035404e-01,1.273191e+19
88,2.047305e-01,1.276741e+19
89,2.059206e-01,1.280291e+19
90,2.071107e-01,1.283841e+19
91,2.083008e-01,1.287387e+19
92,2.094910e-01,1.290933e+19
93,2.106811e-01,1.294479e+19
94,2.118712e-01,1.298025e+19
95,2.130613e-01,1.301571e+19
96,2.142514e-01,1.305117e+19
97,2.154415e-01,1.308648e+19
98,2.166317e-01,1.312109e+19
99,2.178218e-01,1.315570e+19
100,2.190119e-01,1.319032e+19
101,2.202020e-01,1.322445e+19
102,2.213921e-01,1.325857e+19
103,2.225823e-01,1.329270e+19
104,2.237724e-01,1.332637e+19
105,2.249625e-01,1.335964e+19
106,2.261526e-01,1.339291e+19
107,2.273427e-01,1.342609e+19
108,2.285329e-01,1.345905e+19
109,2.297230e-01,1.349200e+19
110,2.309131e-01,1.352488e+19
111,2.321032e-01,1.355716e+19
112,2.332933e-01,1.358945e+19
113,2.344835e-01,1.362174e+19
114,2.356736e-01,1.365386e+19
115,2.368637e-01,1.368592e+19
116,2.380538e-01,1.371798e+19
117,2.392439e-01,1.375003e+19
118,2.404340e-01,1.378209e+19
119,2.416242e-01,1.381414e+19
120,2.428143e-01,1.384620e+19
121,2.440044e-01,1.387806e+19
122,2.451945e-01,1.390991e+19
123,2.463846e-01,1.394176e+19
124,2.475748e-01,1.397281e+19
125,2.487649e-01,1.400359e+19
126,2.499550e-01,1.403437e+19
127,2.511451e-01,1.406509e+19
128,2.523352e-01,1.409577e+19
129,2.535254e-01,1.412646e+19
130,2.547155e-01,1.415706e+19
131,2.559056e-01,1.418702e+19
132,2.570957e-01,1.421698e+19
133,2.582858e-01,1.424694e+19
134,2.594760e-01,1.427638e+19
135,2.606661e-01,1.430576e+19
136,2.618562e-01,1.433513e+19
137,2.630463e-01,1.436433e+19
138,2.642364e-01,1.439329e+19
139,2.654265e-01,1.442224e+19
140,2.666167e-01,1.445119e+19
141,2.678068e-01,1.448022e+19
142,2.689969e-01,1.450925e+19
143,2.701870e-01,1.453828e+19
144,2.713771e-01,1.456723e+19
145,2.725673e-01,1.459615e+19
146,2.737574e-01,1.462508e+19
147,2.749475e-01,1.465383e+19
148,2.761376e-01,1.468215e+19
149,2.773277e-01,1.471047e+19
150,2.785179e-01,1.473871e+19
151,2.797080e-01,1.476543e+19
152,2.808981e-01,1.479215e+19
153,2.820882e-01,1.481887e+19
154,2.832783e-01,1.484509e+19
155,2.844685e-01,1.487123e+19
156,2.856586e-01,1.489738e+19
157,2.868487e-01,1.492354e+19
158,2.880388e-01,1.494973e+19
159,2.892289e-01,1.497592e+19
160,2.904190e-01,1.500194e+19
161,2.916092e-01,1.502733e+19
162,2.927993e-01,1.505272e+19
163,2.939894e-01,1.507811e+19
164,2.951795e-01,1.510344e+19
165,2.963696e-01,1.512875e+19
166,2.975598e-01,1.515406e+19
167,2.987499e-01,1.517941e+19
168,2.999400e-01,1.520484e+19
169,3.011301e-01,1.523027e+19
170,3.023202e-01,1.525556e+19
171,3.035104e-01,1.527977e+19
172,3.047005e-01,1.530399e+19
173,3.058906e-01,1.532820e+19
174,3.070807e-01,1.535158e+19
175,3.082708e-01,1.537454e+19
176,3.094609e-01,1.539749e+19
177,3.106511e-01,1.542045e+19
178,3.118412e-01,1.544342e+19
179,3.130313e-01,1.546638e+19
180,3.142214e-01,1.548935e+19
181,3.154115e-01,1.551232e+19
182,3.166017e-01,1.553529e+19
183,3.177918e-01,1.555826e+19
184,3.189819e-01,1.558120e+19
185,3.201720e-01,1.560410e+19
186,3.213621e-01,1.562701e+19
187,3.225523e-01,1.564994e+19
188,3.237424e-01,1.567292e+19
189,3.249325e-01,1.569591e+19
190,3.261226e-01,1.571889e+19
191,3.273127e-01,1.574167e+19
192,3.285029e-01,1.576439e+19
193,3.296930e-01,1.578711e+19
194,3.308831e-01,1.580980e+19
195,3.320732e-01,1.583245e+19
196,3.332633e-01,1.585510e+19
197,3.344534e-01,1.587747e+19
198,3.356436e-01,1.589939e+19
199,3.368337e-01,1.592132e+19
