x	y
1.036	2.681e-13
1.096	2.803e-13
1.151	2.755e-13
1.219	2.762e-13
1.275	2.749e-13
1.335	2.754e-13
1.402	2.809e-13
1.470	2.855e-13
1.543	2.857e-13
1.610	2.853e-13
1.670	2.887e-13
1.740	2.909e-13
1.824	2.931e-13
1.917	3.017e-13
2.012	3.109e-13
2.102	3.109e-13
2.225	3.132e-13
2.318	3.161e-13
2.446	3.186e-13
2.573	3.208e-13
2.755	3.395e-13
2.944	3.606e-13
3.067	3.708e-13
3.242	3.702e-13
3.448	3.784e-13
3.708	3.926e-13
4.047	4.130e-13
4.479	4.220e-13
4.678	3.231e-13
4.850	2.648e-13
5.227	2.481e-13
5.634	2.286e-13
5.994	2.448e-13
6.501	2.633e-13
7.060	2.949e-13
7.552	3.407e-13
8.246	4.024e-13
8.936	4.461e-13
9.707	5.371e-13
10.589	5.482e-13
11.782	5.713e-13
11.782	5.713e-13
12.856	5.766e-13
13.895	5.692e-13
15.066	5.915e-13
16.503	5.307e-13
17.426	5.193e-13
18.664	5.141e-13
20.311	5.418e-13
21.727	5.428e-13
23.405	5.637e-13
25.498	6.305e-13
27.479	7.185e-13
29.489	9.041e-13
31.798	1.073e-12
34.326	1.286e-12
35.344	9.910e-13
36.121	7.951e-13
36.952	6.362e-13
39.456	8.174e-13
